Agency Type,State,City,Crime Type,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Weapon,Victim Count,Perpetrator Count,Crime Solved,is_victim_age_missing
Municipal Police,Ohio,Cuyahoga,Murder or Manslaughter,Male,19,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Indiana,Marion,Murder or Manslaughter,Male,56,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Female,57,White,Unknown,Knife,0,1,No,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,19,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,47,Black,Unknown,Knife,0,0,No,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,26,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Washington,King,Murder or Manslaughter,Male,19,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,50,White,Unknown,Blunt Object,0,0,No,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,47,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Missouri,Missouri_othercity,Murder or Manslaughter,Male,42,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Florida,Palm Beach,Murder or Manslaughter,Male,39,White,Unknown,Blunt Object,1,0,No,False
Sheriff,California,California_othercity,Murder or Manslaughter,Male,20,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Female,30,Black,Unknown,Firearm,1,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,34,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Florida,Palm Beach,Murder or Manslaughter,Male,25,Black,Unknown,Firearm,0,0,No,False
Municipal Police,California,Riverside,Murder or Manslaughter,Male,58,Black,Not Hispanic,Rifle,0,0,Yes,False
Sheriff,Oklahoma,Oklahoma_othercity,Murder or Manslaughter,Female,998,White,Unknown,Unknown,0,1,Yes,True
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,19,White,Unknown,Handgun,0,0,No,False
Municipal Police,Utah,Utah_othercity,Murder or Manslaughter,Male,32,White,Unknown,Handgun,0,3,Yes,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,47,White,Unknown,Blunt Object,0,0,Yes,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,21,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Kentucky,Kentucky_othercity,Murder or Manslaughter,Male,27,Black,Unknown,Handgun,0,0,No,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,14,White,Hispanic,Knife,0,0,No,False
Municipal Police,Oklahoma,Oklahoma_othercity,Murder or Manslaughter,Male,35,White,Not Hispanic,Handgun,0,1,Yes,False
Municipal Police,New York,New York_othercity,Murder or Manslaughter,Male,28,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Louisiana,Louisiana_othercity,Murder or Manslaughter,Male,56,White,Not Hispanic,Handgun,0,0,Yes,False
County Police,Florida,Dade,Murder or Manslaughter,Male,27,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,21,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Missouri,Missouri_othercity,Murder or Manslaughter,Male,49,White,Not Hispanic,Rifle,0,0,Yes,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Male,19,White,Hispanic,Handgun,0,0,Yes,False
Sheriff,New York,New York_othercity,Murder or Manslaughter,Male,998,White,Not Hispanic,Unknown,0,0,Yes,True
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,25,Black,Not Hispanic,Handgun,0,0,Yes,False
Sheriff,California,Fresno,Murder or Manslaughter,Male,62,White,Not Hispanic,Strangulation,0,0,Yes,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Texas,Bexar,Murder or Manslaughter,Male,24,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Florida,Hillsborough,Murder or Manslaughter,Male,36,White,Unknown,Rifle,0,0,Yes,False
State Police,Virginia,Virginia_othercity,Murder or Manslaughter,Female,33,White,Unknown,Blunt Object,1,0,Yes,False
Municipal Police,Mississippi,Hinds,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,1,1,Yes,False
Sheriff,Louisiana,East Baton Rouge,Murder or Manslaughter,Male,7,Black,Unknown,Handgun,0,0,No,True
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,69,Black,Unknown,Handgun,0,0,Yes,False
Sheriff,California,Los Angeles,Murder or Manslaughter,Male,18,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,37,White,Unknown,Handgun,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,29,Black,Not Hispanic,Handgun,0,0,Yes,False
Sheriff,California,Sacramento,Murder or Manslaughter,Male,45,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Male,22,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Mississippi,Mississippi_othercity,Murder or Manslaughter,Male,21,Black,Unknown,Handgun,0,2,Yes,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Male,29,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Ohio,Cuyahoga,Murder or Manslaughter,Female,18,Black,Unknown,Blunt Object,1,0,No,False
Municipal Police,Texas,Tarrant,Murder or Manslaughter,Male,50,White,Unknown,Handgun,1,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,22,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Female,66,Black,Unknown,Blunt Object,0,0,Yes,False
Special Police,California,San Diego,Murder or Manslaughter,Female,50,Black,Not Hispanic,Unknown,0,0,Yes,False
Sheriff,California,San Joaquin,Murder or Manslaughter,Female,23,Unknown,Unknown,Handgun,0,0,Yes,False
Municipal Police,Florida,Palm Beach,Murder or Manslaughter,Male,45,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,41,Asian/Pacific Islander,Unknown,Handgun,0,0,Yes,False
Municipal Police,Florida,Duval,Murder or Manslaughter,Female,33,White,Unknown,Unknown,0,0,No,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Female,34,White,Not Hispanic,Blunt Object,0,0,Yes,False
Municipal Police,Texas,Dallas,Murder or Manslaughter,Female,24,Black,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,Mississippi,Hinds,Murder or Manslaughter,Male,18,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,16,Black,Hispanic,Handgun,0,0,No,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,28,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Texas,Harris,Murder or Manslaughter,Male,18,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Colorado,Colorado_othercity,Murder or Manslaughter,Male,57,White,Unknown,Unknown,0,0,No,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,35,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,58,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Louisiana,Louisiana_othercity,Murder or Manslaughter,Female,92,Black,Unknown,Strangulation,0,0,No,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,55,Native American/Alaska Native,Not Hispanic,Knife,0,0,No,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,42,Black,Not Hispanic,Handgun,0,2,Yes,False
Municipal Police,Georgia,Fulton,Murder or Manslaughter,Male,29,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,Riverside,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Ohio,Ohio_othercity,Murder or Manslaughter,Male,58,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Nevada,Clark,Murder or Manslaughter,Female,53,Black,Not Hispanic,Blunt Object,1,0,Yes,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,63,White,Unknown,Handgun,1,0,No,False
Municipal Police,Florida,Dade,Murder or Manslaughter,Male,28,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Male,1,White,Unknown,Unknown,0,0,Yes,True
Sheriff,Texas,Texas_othercity,Murder or Manslaughter,Male,79,White,Unknown,Firearm,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Manslaughter by Negligence,Female,46,White,Unknown,Blunt Object,0,0,Yes,False
Municipal Police,Colorado,Colorado_othercity,Murder or Manslaughter,Female,2,Unknown,Unknown,Unknown,0,0,Yes,True
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,22,Black,Unknown,Handgun,0,0,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Female,0,Black,Unknown,Handgun,1,0,No,True
Municipal Police,Arkansas,Arkansas_othercity,Murder or Manslaughter,Male,31,Black,Unknown,Handgun,0,0,No,False
Sheriff,California,Fresno,Murder or Manslaughter,Male,38,White,Unknown,Gun,0,1,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,41,White,Hispanic,Handgun,0,0,No,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,52,White,Unknown,Unknown,0,0,Yes,False
Municipal Police,Kentucky,Kentucky_othercity,Murder or Manslaughter,Male,46,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Male,29,Black,Hispanic,Firearm,0,0,No,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,26,Black,Unknown,Handgun,0,0,No,False
Sheriff,Texas,Texas_othercity,Murder or Manslaughter,Male,55,White,Hispanic,Rifle,0,0,No,False
Municipal Police,Tennessee,Tennessee_othercity,Murder or Manslaughter,Male,23,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,New York,New York_othercity,Murder or Manslaughter,Male,28,Black,Not Hispanic,Unknown,0,0,No,False
Municipal Police,Florida,Palm Beach,Murder or Manslaughter,Female,83,White,Unknown,Knife,0,0,Yes,False
State Police,Kentucky,Kentucky_othercity,Murder or Manslaughter,Female,36,White,Unknown,Firearm,0,0,Yes,False
Municipal Police,Kentucky,Kentucky_othercity,Murder or Manslaughter,Male,26,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,71,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,Texas,Bexar,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,32,Black,Unknown,Knife,0,0,No,False
Municipal Police,California,San Bernardino,Murder or Manslaughter,Male,28,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,21,White,Hispanic,Unknown,0,0,No,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,27,White,Unknown,Blunt Object,0,1,Yes,False
Sheriff,Mississippi,Hinds,Murder or Manslaughter,Male,24,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,38,White,Unknown,Handgun,0,0,Yes,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Male,56,White,Unknown,Knife,0,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,21,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Kentucky,Kentucky_othercity,Murder or Manslaughter,Male,31,Black,Not Hispanic,Unknown,0,0,Yes,False
Municipal Police,Utah,Utah_othercity,Murder or Manslaughter,Male,38,White,Unknown,Handgun,0,1,Yes,False
Municipal Police,Texas,Harris,Murder or Manslaughter,Male,22,White,Not Hispanic,Firearm,0,0,Yes,False
Municipal Police,Louisiana,Orleans,Murder or Manslaughter,Female,22,Black,Unknown,Firearm,0,0,No,False
Sheriff,Louisiana,Louisiana_othercity,Murder or Manslaughter,Male,29,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Female,0,White,Not Hispanic,Blunt Object,0,0,Yes,True
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Female,22,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Female,1,Black,Unknown,Blunt Object,0,0,Yes,True
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Female,16,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,50,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Texas,Harris,Murder or Manslaughter,Male,5,Asian/Pacific Islander,Not Hispanic,Blunt Object,0,0,Yes,True
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,90,White,Hispanic,Rifle,2,0,Yes,False
County Police,Florida,Dade,Murder or Manslaughter,Male,19,Black,Unknown,Firearm,0,0,No,False
Municipal Police,California,Orange,Murder or Manslaughter,Male,28,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Female,2,White,Unknown,Suffocation,0,0,Yes,True
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,0,0,No,False
County Police,Georgia,De Kalb,Murder or Manslaughter,Male,29,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,86,Black,Unknown,Suffocation,0,0,No,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Female,55,Asian/Pacific Islander,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,55,Black,Not Hispanic,Blunt Object,0,0,No,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,37,Black,Unknown,Firearm,0,0,Yes,False
County Police,Florida,Dade,Manslaughter by Negligence,Male,17,White,Unknown,Firearm,0,1,Yes,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,39,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,57,Black,Unknown,Handgun,0,0,No,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,32,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Louisiana,Louisiana_othercity,Murder or Manslaughter,Female,81,Black,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Male,50,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,Texas,Texas_othercity,Murder or Manslaughter,Male,998,White,Hispanic,Unknown,0,0,No,True
Municipal Police,Utah,Utah_othercity,Murder or Manslaughter,Male,18,White,Unknown,Firearm,0,0,Yes,False
Municipal Police,Florida,Duval,Murder or Manslaughter,Female,33,White,Unknown,Handgun,0,0,Yes,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,30,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Massachusetts,Massachusetts_othercity,Murder or Manslaughter,Male,33,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,28,Black,Unknown,Handgun,2,1,Yes,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,22,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,24,Black,Unknown,Firearm,0,1,Yes,False
County Police,New York,New York_othercity,Murder or Manslaughter,Male,15,Black,Not Hispanic,Unknown,0,0,Yes,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,25,Black,Unknown,Firearm,0,1,No,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,60,Black,Unknown,Firearm,0,1,Yes,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Male,19,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,Minnesota,Minnesota_othercity,Murder or Manslaughter,Male,25,White,Unknown,Unknown,0,0,Yes,False
Municipal Police,Washington,Washington_othercity,Murder or Manslaughter,Male,32,Black,Unknown,Firearm,0,1,No,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,5,Black,Unknown,Firearm,0,0,No,True
Municipal Police,West Virginia,West Virginia_othercity,Murder or Manslaughter,Male,51,White,Unknown,Unknown,0,2,No,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,16,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Tennessee,Tennessee_othercity,Murder or Manslaughter,Male,25,White,Unknown,Knife,0,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,20,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Male,27,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Female,0,Black,Unknown,Blunt Object,0,0,Yes,True
Municipal Police,Indiana,Marion,Murder or Manslaughter,Male,37,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Tennessee,Shelby,Murder or Manslaughter,Male,62,Black,Unknown,Knife,0,0,No,False
Sheriff,Arkansas,Arkansas_othercity,Murder or Manslaughter,Unknown,998,Unknown,Unknown,Fire,0,0,No,True
Municipal Police,Colorado,Colorado_othercity,Murder or Manslaughter,Male,32,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,57,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Louisiana,Orleans,Murder or Manslaughter,Male,29,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,20,Black,Unknown,Firearm,0,0,No,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,21,Unknown,Unknown,Firearm,0,0,No,False
Sheriff,Texas,Harris,Murder or Manslaughter,Male,27,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,27,White,Unknown,Firearm,1,0,Yes,False
Municipal Police,Kansas,Kansas_othercity,Murder or Manslaughter,Male,69,White,Not Hispanic,Shotgun,2,0,Yes,False
Municipal Police,Texas,Bexar,Murder or Manslaughter,Male,26,White,Hispanic,Handgun,0,0,Yes,False
Sheriff,Ohio,Ohio_othercity,Murder or Manslaughter,Female,6,White,Unknown,Handgun,0,0,Yes,True
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,25,Black,Not Hispanic,Knife,0,0,No,False
Municipal Police,District of Columbia,District of Columbia,Murder or Manslaughter,Male,41,White,Unknown,Knife,0,0,Yes,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,50,White,Unknown,Knife,0,0,No,False
Municipal Police,Arkansas,Arkansas_othercity,Murder or Manslaughter,Male,28,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,24,Black,Unknown,Unknown,0,0,No,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,32,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Female,51,Black,Unknown,Knife,0,0,No,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,23,Black,Unknown,Gun,0,0,No,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Male,66,White,Unknown,Firearm,0,0,Yes,False
Municipal Police,Arkansas,Arkansas_othercity,Murder or Manslaughter,Male,39,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Louisiana,East Baton Rouge,Murder or Manslaughter,Male,49,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,26,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,33,Black,Unknown,Handgun,0,0,No,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,20,White,Unknown,Knife,0,0,Yes,False
Sheriff,Minnesota,Minnesota_othercity,Murder or Manslaughter,Female,16,Black,Unknown,Firearm,0,0,Yes,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Female,39,White,Unknown,Unknown,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,21,Black,Unknown,Handgun,0,0,No,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Female,998,Unknown,Unknown,Unknown,0,0,No,True
Municipal Police,Texas,Bexar,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,32,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Texas,Tarrant,Murder or Manslaughter,Male,38,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Indiana,Marion,Murder or Manslaughter,Male,22,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,49,Black,Not Hispanic,Firearm,0,0,Yes,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Male,38,Black,Not Hispanic,Gun,0,0,No,False
Sheriff,Oklahoma,Oklahoma_othercity,Murder or Manslaughter,Male,61,White,Unknown,Rifle,0,0,No,False
Sheriff,Texas,Texas_othercity,Murder or Manslaughter,Male,20,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Texas,Dallas,Murder or Manslaughter,Male,46,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,27,White,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,Kansas,Kansas_othercity,Murder or Manslaughter,Male,44,Black,Unknown,Knife,0,1,Yes,False
Sheriff,Colorado,Colorado_othercity,Murder or Manslaughter,Female,57,White,Unknown,Blunt Object,0,2,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,49,Black,Unknown,Handgun,0,0,No,False
Municipal Police,New Mexico,New Mexico_othercity,Murder or Manslaughter,Male,19,Black,Not Hispanic,Handgun,1,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,22,Black,Unknown,Handgun,0,0,No,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,50,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,California,San Diego,Murder or Manslaughter,Male,24,Unknown,Unknown,Unknown,0,0,No,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,26,White,Unknown,Firearm,0,0,Yes,False
Municipal Police,Oregon,Oregon_othercity,Murder or Manslaughter,Female,2,White,Not Hispanic,Drowning,0,0,Yes,True
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,29,White,Hispanic,Knife,0,0,No,False
Municipal Police,Texas,Bexar,Murder or Manslaughter,Female,34,White,Hispanic,Handgun,1,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Female,52,White,Hispanic,Handgun,2,0,Yes,False
Municipal Police,Connecticut,Connecticut_othercity,Murder or Manslaughter,Male,40,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,Texas,Bexar,Murder or Manslaughter,Male,36,Black,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,Florida,Duval,Murder or Manslaughter,Male,37,Black,Unknown,Rifle,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,51,Black,Unknown,Handgun,0,0,No,False
State Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,39,White,Not Hispanic,Handgun,0,4,Yes,False
Municipal Police,Nevada,Clark,Murder or Manslaughter,Female,24,Black,Not Hispanic,Blunt Object,0,0,Yes,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,25,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,24,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,17,White,Unknown,Firearm,0,0,Yes,False
County Police,Georgia,De Kalb,Murder or Manslaughter,Male,27,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Georgia,Fulton,Murder or Manslaughter,Male,23,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,30,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,District of Columbia,District of Columbia,Murder or Manslaughter,Female,26,Black,Not Hispanic,Firearm,0,0,No,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Male,30,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,18,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Kentucky,Kentucky_othercity,Murder or Manslaughter,Male,38,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,26,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,San Bernardino,Murder or Manslaughter,Male,20,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,21,Black,Not Hispanic,Handgun,2,0,No,False
Municipal Police,Nevada,Clark,Murder or Manslaughter,Male,49,Black,Not Hispanic,Knife,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,80,White,Not Hispanic,Strangulation,0,0,No,False
Municipal Police,California,Alameda,Murder or Manslaughter,Female,28,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,31,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Indiana,Marion,Murder or Manslaughter,Male,21,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,19,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Pennsylvania,Allegheny,Murder or Manslaughter,Male,22,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,17,White,Hispanic,Handgun,0,3,Yes,False
Municipal Police,Georgia,Fulton,Murder or Manslaughter,Male,0,Black,Not Hispanic,Blunt Object,0,0,No,True
Municipal Police,Massachusetts,Massachusetts_othercity,Murder or Manslaughter,Male,20,Black,Unknown,Firearm,0,0,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Female,4,Black,Unknown,Blunt Object,0,0,Yes,True
Municipal Police,Nevada,Clark,Murder or Manslaughter,Male,18,Black,Not Hispanic,Handgun,0,1,No,False
Municipal Police,Kansas,Kansas_othercity,Murder or Manslaughter,Female,23,Black,Unknown,Handgun,0,0,No,False
County Police,Georgia,Georgia_othercity,Murder or Manslaughter,Male,65,Black,Not Hispanic,Blunt Object,0,0,Yes,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Female,63,Black,Unknown,Suffocation,0,0,Yes,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Female,1,White,Unknown,Blunt Object,0,1,Yes,True
State Police,West Virginia,West Virginia_othercity,Murder or Manslaughter,Male,32,White,Unknown,Handgun,0,0,Yes,False
